Message,Label,Note
"tui bị mắc kẹt trong nhà, cần giúp để thoát ra ngòa",High,
"nước lũ đang tràn vào nhà, cần giúp để bảo vệ tài sảng",Medium,
"tui bị thương, cần giúp đỡ để sơ cứu",Medium,
tui cần có thức ăn ,Medium,
"tui bị mắc kẹt trong xe, tui cần hỗ trợ để thoát ra",Medium,
cần giúp đỡ để sửa chữa nhà,Low,
Tui cần giúp đở để di dời đén nơi an toàn,Medium,
"Nước lũ đang đe dọa tính mạng, cần thoát khỏiii",High,
tui cần giúp đỡ để có thuốc men,Medium,
"tui bị mất giấy tờ quang trọng, cần giúp đỡ để làm lại",Low,
Tui cần giúp đỡ để có chỗ ở tạm thời,Medium,
tui cần giúp đỡ để di dời tài sản cụa t,Low,
Tui cần có thông tin về tình hình lũ lụt ngây bây h,Medium,
nhà tôi sắp sập,Medium,
tôi k còn nước,Medium,
tôi k còn thức ăn,Medium,
tôi cần đồ ăn,Medium,
tôi cần nước  ,Medium,
hãy giúp tôi di chuyển,Low,
nhà có trẻ em nước ngập đến đầu gối,Medium,
nhà có người già cần trợ giúp di dời,Medium,
tôi cần đồ ăn và thức uống,Medium,
tôi cần thuốc kháng sinh,Medium,
tôi cần ánh sáng,Medium,
ở đây mất điện tôi cần đèn pin,Medium,
tôi cần mì tôm,Medium,
ở đây có người đang hấp hối,High,
có người bị chìm,Critical,
cứu với tôi thấy có người bị đuối,Critical,
cần quần áo sạch,Low,
lũ trẻ đang cảm lạnh,Medium,
t cần nước uống,Medium,
t cần thức ăn,Medium,
t cần di chuyển đến nơi khác,Medium,
tôi cần cứu hộ gấp con tôi đang bị sốt,High,
tôi cần liên lạc với người thân,Medium,
tôi đang trên mái nhà,Medium,
t đang trên mái nhà,Medium,
t dg trên mái nhà,Medium,
tôi đang bị lạnh,Medium,
t đang bị lạnh,Medium,
t dg bị lạnh,Medium,
t đang bị sốt,Medium,
tôi đang sốt,Medium,
tôi đang bị sốt,Medium,
t dg bị sốt,Medium,
tôi dg bị sốt,Medium,
ở đây có người già,Medium,
ở đây có người thiệt mạng,High,
ở đây có người chết,High,
ở đây có người qua đời,High,
nước dâng cao quá,Critical,
tôi cần y tá,High,
tôi cần bác sĩ,High,
vết thương tôi đang đau nhức,High,
vợ tôi sắp sinh,High,
tôi bị gãy tay,High,
tôi bị gãy chân,High,
ng nhà tôi bị đột quỵ,High,
tôi bị đau đầu,Medium,
tôi bị tai biến,High,
tôi sắp sinh,High,
vợ t sắp sinh,High,
tôi bị trật tay,High,
tôi bị trật chân,High,
sập chuồn heo,Low,
tôi cần heo của tôi,Low,
học phí của tôi,Low,
két sắt tôi trôi rồi,Low,
nước ngập đến mái nhà,Critical,
nước ngập đến cổ,Critical,
cây đổ vào nhà,Critical,
đang bị mắc kẹt,Critical,
tôi bị mắc kẹt,Critical,
t bị kẹt rồi,Critical,
giúp t thoát ra với t bị kẹt,Critical,
nhà đã bị sập,Critical,
bay mái nhà ,Medium,
mưa chảy từ tầng 2,Medium,
ngập đến tầng 2,Critical,
tôi cần dụng cụ lau dọn,Low,
tôi cần lg thực,Medium,
con tôi đang rét,Medium,
con tôi đang lạnh,Medium,
tôi cần bảo quản thức ăn,Medium,
con tôi bị sốt,Medium,
con tôi bị đói,Medium,
Kẹt trong nhà,High,
Xin cứu gấp,High,
Nước lên nhanh,High,
Cứu với lũ lớn,High,
Điện cắt rồi,Medium,
Có trẻ nhỏ cứu,Medium,
Nguy hiểm quá,High,
Nguy hiểm qus,High,
Nhà ngập rồi cứu,High,
Kẹt cả nhà,Critical,
Nhà ngập rồi cứu,High,
Nc lên nhanh,High,
Lũ bao vây rồi,High,
Điện ngắt rồi,Medium,
Nguy hỉm quá,High,
Lũ mạnh quá,Critical,
Cứu vs lũ lớn,Critical,
Kẹt cả nhà,Critical,
Xin cứu gấp,Critical,
Không liên lạc được,Medium,
Nước dâng nhanh quá,High,
Nhà chìm nước,Critical,
Nhà ngập rồi cứu,Critical,
Nước lên nhank,Critical,
Nhà ngập rồi cíu,Critical,
Điện cắt r cứu,Medium,
Nước vào nhà,Medium,
Ngập tới gối rồi,Medium,
Kẹt trog nhà,High,
Cíu với lũ lớn,High,
Ngập sâu cứu hộ,Critical,
Kẹt lũ cứu gấp,Critical,
Nước lên nhah,High,
Kẹt cả nhè,High,
Khôg liên lạc được,Medium,
Nước dâng nhanh qus,High,
Không thoát được,Critical,
Có trẻ nhỏ cứu với,High,
Ngập đến bụng r,High,
Nước tới cổ r,Critical,
Lũ bao vay r,Critical,
Nhà ngập r cứu,High,
Nước dâng cao,Critical,
Ngập sâu cứu hộ,Critical,
Không thoát được,Critical,
Kẹt lũ cứu gấp,Critical,
Kẹt lũ cíu gấp,Critical,
Điện cắt rồi,Medium,
Điện cắt rồi,Medium,
Nhà ngập rồi cứu,High,
Kẹt lũ cứu gấp,Critical,
Kẹt lũ cứu gấp,Critical,
Nước dâng nhanh quá,Critical,
Kẹt cả nhà,Critical,
Lũ mạnh quá,Critical,
Xin cứu gấp,Critical,
Nguy hiểm quá,Critical,
Ngập sâu cứu hộ,Critical,
Không liên lạc được,Medium,
Nước lên nhanh,Critical,
Nước lên nhanh,Critical,
Nhà chìm nước,Critical,
Kẹt cả nhà,Critical,
Kẹt cả nhà,Critical,
Nguy hiểm quá,Critical,
Cứu với lũ lớn,High,
Nhà chìm nước,Critical,
Nhà ngập rồi cứu,High,
Lũ bao vây rồi,High,
Ngập sâu cứu hộ,Critical,
Lũ bao vây rồi,Critical,
Nguy hiểm quá,Critical,
Nguy hiểm quá,Critical,
Không liên lạc được,Medium,
Ngập tới gối rồi,Medium,
Có trẻ nhỏ cứu,High,
Nước lên nhanh,High,
Lũ bao vây rồi,Critical,
Kẹt cả nhà,Critical,
Nước vào nhà,Critical,
Cứu với lũ lớn,Critical,
Xin cứu gấp,Critical,
Kẹt lũ cứu gấp,Critical,
Nguy hiểm quá,Critical,
Lũ bao vây rồi,Critical,
Lũ bao vây rồi,Critical,
Không liên lạc được,Medium,
Lũ mạnh quá,High,
Nước lên nhanh,High,
Điện cắt rồi,Medium,
Ngập sâu cứu hộ,High,
Có người già kẹt,Critical,
Cứu với lũ lớn,High,
Xin cứu gấp,Critical,
Kẹt cả nhà,Critical,
Điện cắt rồi,Medium,
Lũ bao vây rồi,Critical,
Không liên lạc được,Medium,
Có trẻ nhỏ cứu,High,
Điện cắt rồi,Medium,
Nước lên nhanh,High,
Nước vào nhà,High,
Xin cứu gấp,Critical,
Lũ bao vây rồi,Critical,
Nhà chìm nước,Critical,
Ngập tới gối rồi,Medium,
Nước lên nhanh,High,
Kẹt cả nhà,Critical,
Lũ mạnh quá,High,
Nhà ngập rồi cứu,Critical,
Có người già kẹt,Critical,
Ngập tới gối rồi,Medium,
Nhà ngập rồi cứu,High,
Nước dâng nhanh quá,High,
Điện cắt rồi,Medium,
Kẹt lũ cứu gấp,Critical,
Kẹt cả nhà,Critical,
Nhà chìm nước,Critical,
Điện cắt rồi,Medium,
Nước vào nhà,High,
Kẹt trong nhà,High,
Cứu với lũ lớn,High,
Ngập tới gối rồi,Medium,
Điện cắt rồi,Medium,
Nguy hiểm quá,Critical,
Kẹt cả nhà,High,
Nguy hiểm quá,Critical,
Không liên lạc được,Medium,
Ngập tới gối rồi,Medium,
Nhà ngập rồi cứu,High,
Không liên lạc được,Medium,
Xin cứu gấp,Critical,
Kẹt lũ cứu gấp,Critical,
Điện cắt rồi,Medium,
Không thoát được,High,
Kẹt lũ cứu gấp,Critical,
Nước lên nhanh,High,
Không thoát được,High,
Nước lên nhanh,High,
Ngập sâu cứu hộ,Critical,
Ngập tới gối rồi,Medium,
Nước dâng nhanh quá,High,
Nước vào nhà,High,
Ngập sâu cứu hộ,Critical,
Ngập sâu cứu hộ,Critical,
Nhà chìm nước,Critical,
Nhà chìm nước,Critical,
Kẹt cả nhà,Critical,
Có trẻ nhỏ cứu,High,
Nước dâng nhanh quá,High,
Lũ mạnh quá,High,
Nhà ngập rồi cứu,High,
Có trẻ nhỏ cứu,High,
Kẹt cả nhà,Critical,
Không thoát được,High,
Nước dâng nhanh quá,High,
Cứu với lũ lớn,High,
Không liên lạc được,Medium,
Điện cắt rồi,Medium,
Nước lên nhanh,High,
Xin cứu gấp,Critical,
Xin cứu gấp,Critical,
Nước lên nhanh,High,
Không thoát được,High,
Lũ mạnh quá,High,
Kẹt cả nhà,Critical,
Có trẻ nhỏ cứu,High,
Không thoát được,High,
Nước lên nhanh,High,
Không liên lạc được,Medium,
Nguy hiểm quá,Critical,
Xin cứu gấp,Critical,
Kẹt lũ cứu gấp,Critical,
Kẹt cả nhà,Critical,
Kẹt lũ cứu gấp,Critical,
Kẹt cả nhà,Critical,
Xin cứu gấp,Critical,
Kẹt lũ cứu gấp,Critical,
Nguy hiểm quá,Critical,
Nhà ngập rồi cứu,Critical,
Nguy hiểm quá,Critical,
Có trẻ nhỏ cứu,High,
Nước lên nhanh,High,
Nước vào nhà,High,
Nguy hiểm quá,Critical,
Ngập sâu cứu hộ,Critical,
Có người già kẹt,Critical,
Lũ bao vây rồi,High,
Kẹt lũ cứu gấp,Critical,
Lũ bao vây rồi,High,
Nguy hiểm quá,Critical,
Nhà chìm nước,Critical,
Nhà ngập rồi cứu,Critical,
Kẹt lũ cứu gấp,Critical,
Không liên lạc được,Medium,
Kẹt lũ cứu gấp,Critical,
Kẹt trong nhà,High,
Nguy hiểm quá,Critical,
Nhà chìm nước,Critical,
Ngập sâu cứu hộ,Critical,
Lũ bao vây rồi,High,
Nước vào nhà,High,
Có người già kẹt,Critical,
Kẹt lũ cứu gấp,Critical,
Kẹt cả nhà,Critical,
Ngập sâu cứu hộ,Critical,
Điện cắt rồi,Medium,
Xin cứu gấp,Critical,
Lũ mạnh quá,High,
Điện cắt rồi,Medium,
Có trẻ nhỏ cứu,High,
Có trẻ nhỏ cứu,High,
Lũ bao vây rồi,High,
Kẹt lũ cứu gấp,Critical,
Ngập sâu cứu hộ,Critical,
Nước lên nhanh,High,
Nhà ngập rồi cứu,Critical,
Lũ mạnh quá,High,
Kẹt lũ cứu gấp,Critical,
Kẹt cả nhà,Critical,
Không liên lạc được,Medium,
Nước vào nhà,High,
Không thoát được,Critical,
Nhà ngập rồi cứu,Critical,
Không liên lạc được,Medium,
Xin cứu gấp,Critical,
Không thoát được,Critical,
Không thoát được,Critical,
Có người già kẹt,Critical,
Không thoát được,Critical,
Nguy hiểm quá,Critical,
Nước dâng nhanh quá,High,
Lũ bao vây rồi,High,
Không thoát được,High,
Nước dâng nhanh quá,High,
Ngập tới gối rồi,Medium,
Ngập sâu cứu hộ,Critical,
Kẹt cả nhà,Critical,
Không thoát được,Critical,
Nước lên nhanh,High,
Ngập tới gối rồi,Medium,
Kẹt lũ cứu gấp,Critical,
Có trẻ nhỏ cứu,High,
Lũ bao vây rồi,High,
Nước dâng nhanh quá,High,
Có người già kẹt,Critical,
Không thoát được,Critical,
Kẹt cả nhà,Critical,
Nước dâng nhanh quá,High,
Xin cứu gấp,Critical,
Lũ mạnh quá,High,
Không thoát được,Critical,
Không liên lạc được,Medium,
Không thoát được,Critical,
Ngập tới gối rồi,Medium,
Không liên lạc được,Medium,
Nguy hiểm quá,Critical,
Không liên lạc được,Medium,
Lũ mạnh quá,High,
Không thoát được,Critical,
Lũ bao vây rồi,High,
Có người già kẹt,Critical,
Kẹt cả nhà,Critical,
Ngập sâu cứu hộ,Critical,
Kẹt trong nhà,High,
Nguy hiểm quá,Critical,
Cứu với lũ lớn,High,
Nước dâng nhanh quá,High,
Kẹt cả nhà,Critical,
Xin cứu gấp,Critical,
Có người già kẹt,Critical,
Lũ bao vây rồi,High,
Nước vào nhà,High,
Lũ bao vây rồi,High,
Có người già kẹt,Critical,
Kẹt trong nhà,High,
Có người già kẹt,Critical,
Nhà ngập rồi cứu,Critical,
Nguy hiểm quá,Critical,
Nhà chìm nước,Critical,
Điện cắt rồi,Medium,
Lũ mạnh quá,High,
Lũ mạnh quá,High,
Ngập sâu cứu hộ,Critical,
Cứu với lũ lớn,High,
Kẹt trong nhà,High,
Nước dâng nhanh quá,High,
Kẹt trong nhà,High,
Ngập sâu cứu hộ,Critical,
Lũ bao vây rồi,High,
Không liên lạc được,Medium,
Ngập sâu cứu hộ,Critical,
Xin cứu gấp,Critical,
Cứu với lũ lớn,High,
Không thoát được,Critical,
Xin cứu gấp,Critical,
Có người già kẹt,Critical,
Xin cứu gấp,Critical,
Nước lên nhanh,High,
Nhà ngập rồi cứu,High,
Lũ bao vây rồi,High,
Lũ mạnh quá,High,
Nguy hiểm quá,Critical,
Kẹt lũ cứu gấp,Critical,
Có trẻ nhỏ cứu,High,
Có trẻ nhỏ cứu,High,
Không liên lạc được,Medium,
Không liên lạc được,Medium,
Nước vào nhà,Medium,
Nguy hiểm quá,Critical,
Ngập tới gối rồi,Medium,
Nguy hiểm quá,Critical,
Không liên lạc được,Medium,
Nước vào nhà,Medium,
Xin cứu gấp,Critical,
Nước vào nhà,High,
Xin cứu gấp,Critical,
Có trẻ nhỏ cứu,High,
Cứu với lũ lớn,High,
Điện cắt rồi,Medium,
Xin cứu gấp,Critical,
Kẹt lũ cứu gấp,Critical,
Kẹt lũ cứu gấp,Critical,
Có người già kẹt,Critical,
Ngập sâu cứu hộ,Critical,
Nhà ngập rồi cứu,Critical,
Lũ mạnh quá,High,
Không thoát được,High,
Nước dâng nhanh quá,High,
Ngập tới gối rồi,Medium,
Cứu với lũ lớn,High,
Lũ bao vây rồi,High,
Điện cắt rồi,Medium,
Lũ bao vây rồi,High,
Cứu với lũ lớn,High,
Kẹt trong nhà,High,
Có trẻ nhỏ cứu,High,
Kẹt cả nhà,Critical,
Lũ mạnh quá,High,
Có người già kẹt,Critical,
Có trẻ nhỏ cứu,High,
Nhà chìm nước,Critical,
Nhà chìm nước,Critical,
Lũ mạnh quá,High,
Điện cắt rồi,Medium,
Nước dâng nhanh quá,High,
Xin cứu gấp,Critical,
Nước lên nhanh,High,
Kẹt cả nhà,Critical,
Không liên lạc được,Medium,
Nguy hiểm quá,Critical,
Nước dâng nhanh quá,High,
Cứu với lũ lớn,High,
Nhà chìm nước,Critical,
Ngập sâu cứu hộ,Critical,
Nước dâng nhanh quá,High,
Kẹt cả nhà,Critical,
Có người già kẹt,Critical,
Lũ mạnh quá,High,
Ngập tới gối rồi,Medium,
Lũ bao vây rồi,High,
Xin cứu gấp,Critical,
Kẹt cả nhà,Critical,
Nhà ngập rồi cứu,Critical,
Nước lên nhanh,High,
Có người già kẹt,Critical,
Kẹt trong nhà,High,
Không thoát được,High,
Nước lên nhanh,High,
Ngập tới gối rồi,Medium,
Cứu với lũ lớn,High,
Nước dâng nhanh quá,High,
Xin cứu gấp,Critical,
Kẹt cả nhà,Critical,
Nhà chìm nước,Critical,
Nhà ngập rồi cứu,Critical,
Có người già kẹt,Critical,
Kẹt lũ cứu gấp,Critical,
Xin cứu gấp,Critical,
Xin cứu gấp,Critical,
Nhà chìm nước,Critical,
Ngập tới gối rồi,Medium,
Nhà ngập rồi cứu,Critical,
Nước dâng nhanh quá,High,
Có trẻ nhỏ cứu,High,
Ngập sâu cứu hộ,Critical,
Nhà chìm nước,Critical,
Kẹt trong nhà,Critical,
Nước lên nhanh,High,
Kẹt trong nhà,Critical,
Không liên lạc được,Medium,
Điện cắt rồi,Medium,
Nhà ngập rồi cứu,Critical,
Kẹt lũ cứu gấp,Critical,
Xin cứu gấp,Critical,
Có trẻ nhỏ cứu,High,
Nước lên nhanh,High,
Không liên lạc được,Medium,
Kẹt trong nhà,Critical,
Nhà chìm nước,Critical,
Cứu với lũ lớn,High,
Có người già kẹt,Critical,
Có người già kẹt,Critical,
Lũ mạnh quá,High,
Nguy hiểm quá,Critical,
Cứu với lũ lớn,High,
Nhà chìm nước,Critical,
Kẹt lũ cứu gấp,Critical,
Lũ bao vây rồi,High,
Không thoát được,Critical,
Kẹt trong nhà,Critical,
Nước lên nhanh,High,
Không thoát được,Critical,
Lũ bao vây rồi,High,
Ngập tới gối rồi,Medium,
Không thoát được,Critical,
Kẹt trong nhà,Critical,
Cứu với lũ lớn,High,
Điện cắt rồi,Medium,
Nhà chìm nước,Critical,
Kẹt trong nhà,Critical,
Cứu với lũ lớn,High,
Xin cứu gấp,Critical,
Ngập sâu cứu hộ,Critical,
Nước lên nhanh,High,
Xin cứu gấp,Critical,
Kẹt trong nhà,Critical,
Có người già kẹt,Critical,
Không liên lạc được,Medium,
Nước vào nhà,Medium,
Ngập tới gối rồi,Medium,
Kẹt cả nhà,Critical,
Nguy hiểm quá,Critical,
Nước lên nhanh,High,
Kẹt lũ cứu gấp,Critical,
Có người già kẹt,Critical,
Nhà chìm nước,Critical,
Không liên lạc được,Medium,
Có người già kẹt,Critical,
Nước vào nhà,Medium,
Có người già kẹt,Critical,
Nguy hiểm quá,Critical,
Có người già kẹt,Critical,
Ngập tới gối rồi,Medium,
Có trẻ nhỏ cứu,High,
Nước dâng nhanh quá,High,
Kẹt trong nhà,Critical,
Kẹt trong nhà,Critical,
Nhà ngập rồi cứu,Critical,
Nhà ngập rồi cứu,Critical,
Xin cứu gấp,Critical,
Kẹt lũ cứu gấp,Critical,
Không liên lạc được,Medium,
Có người già kẹt,Critical,
Nhà ngập rồi cứu,Critical,
Kẹt trong nhà,Critical,
Có trẻ nhỏ cứu,High,
Lũ mạnh quá,High,
Điện cắt rồi,Medium,
Nước vào nhà,Medium,
Kẹt lũ cứu gấp,Critical,
Có trẻ nhỏ cứu,High,
Không thoát được,Critical,
Ngập sâu cứu hộ,Critical,
Có người già kẹt,Critical,
Cứu với lũ lớn,High,
Không thoát được,Critical,
Điện cắt rồi,Medium,
Nhà chìm nước,Critical,
Nguy hiểm quá,Critical,
Nhà chìm nước,Critical,
Có người già kẹt,Critical,
Không liên lạc được,Medium,
Kẹt trong nhà,Critical,
Ngập tới gối rồi,Medium,
Lũ bao vây rồi,High,
Nhà ngập rồi cứu,Critical,
Kẹt trong nhà,Critical,
Ngập tới gối rồi,Medium,
Nước vào nhà,Medium,
Nước lên nhanh,High,
Cứu với lũ lớn,High,
Không thoát được,Critical,
Xin cứu gấp,Critical,
Nhà chìm nước,Critical,
